iso3,m49,name_en,jica_name,dac_oda_recipient_2024,jica_relation,supervising_offices,jica_country_page
MDA,498,Republic of Moldova,Moldova,yes,country_page_and_purview,JICA Ukraine Office,https://www.jica.go.jp/english/overseas/moldova/index.html
MDG,450,Madagascar,Madagascar,yes,country_page_and_purview,JICA Madagascar Office,https://www.jica.go.jp/english/overseas/madagascar/index.html
MDV,462,Maldives,Maldives,yes,country_page_and_purview,JICA Maldives Office; JICA Sri Lanka Office,https://www.jica.go.jp/english/overseas/maldives/index.html
MEX,484,Mexico,Mexico,yes,country_page_and_purview,JICA Mexico Office,https://www.jica.go.jp/english/overseas/mexico/index.html
MHL,584,Marshall Islands,Marshall Islands,yes,country_page_and_purview,JICA Palau Office; JICA/JOCV Marshall Islands Office,https://www.jica.go.jp/english/overseas/marshall/index.html
MKD,807,North Macedonia,Republic of North Macedonia,yes,country_page_and_purview,JICA Balkan Office,https://www.jica.go.jp/english/overseas/north_macedonia/index.html
MLI,466,Mali,Mali,yes,purview_only,JICA Senegal Office,
MMR,104,Myanmar,Myanmar,yes,country_page_and_purview,JICA Myanmar Office,https://www.jica.go.jp/english/overseas/myanmar/index.html
MNE,499,Montenegro,Montenegro,yes,country_page_and_purview,JICA Balkan Office,https://www.jica.go.jp/english/overseas/montenegro/index.html
MNG,496,Mongolia,Mongolia,yes,country_page_and_purview,JICA Mongolia Office,https://www.jica.go.jp/english/overseas/mongolia/index.html
MOZ,508,Mozambique,Mozambique,yes,country_page_and_purview,JICA Mozambique Office,https://www.jica.go.jp/english/overseas/mozambique/index.html
MRT,478,Mauritania,Mauritania,yes,purview_only,JICA Senegal Office,
MUS,480,Mauritius,Mauritius,yes,country_page_and_purview,JICA Madagascar Office,https://www.jica.go.jp/english/overseas/mauritius/index.html
MWI,454,Malawi,Malawi,yes,country_page_and_purview,JICA Malawi Office,https://www.jica.go.jp/english/overseas/malawi/index.html
MYS,458,Malaysia,Malaysia,yes,country_page_and_purview,JICA Malaysia Office,https://www.jica.go.jp/english/overseas/malaysia/index.html
NAM,516,Namibia,Namibia,yes,country_page_and_purview,JICA Namibia Office; JICA South Africa Office,https://www.jica.go.jp/english/overseas/namibia/index.html
NER,562,Niger,Niger,yes,country_page_and_purview,JICA Niger Office,https://www.jica.go.jp/english/overseas/niger/index.html
NGA,566,Nigeria,Nigeria,yes,country_page_and_purview,JICA Nigeria Office,https://www.jica.go.jp/english/overseas/nigeria/index.html
NIC,558,Nicaragua,Nicaragua,yes,country_page_and_purview,JICA Nicaragua Office,https://www.jica.go.jp/english/overseas/nicaragua/index.html
NIU,570,Niue,Niue,yes,purview_only,JICA Fiji Office,
NPL,524,Nepal,Nepal,yes,country_page_and_purview,JICA Nepal Office,https://www.jica.go.jp/english/overseas/nepal/index.html
NRU,520,Naoero,Nauru,yes,purview_only,JICA Fiji Office,
PAK,586,Pakistan,Pakistan,yes,country_page_and_purview,JICA Pakistan Office,https://www.jica.go.jp/english/overseas/pakistan/index.html
PAN,591,Panama,Panama,yes,country_page_and_purview,JICA Panama Office,https://www.jica.go.jp/english/overseas/panama/index.html
PER,604,Peru,Peru,yes,country_page_and_purview,JICA Peru Office,https://www.jica.go.jp/english/overseas/peru/index.html
PHL,608,Philippines,Philippines,yes,country_page_and_purview,JICA Philippines Office,https://www.jica.go.jp/english/overseas/philippine/index.html
PLW,585,Palau,Palau,yes,country_page_and_purview,JICA Palau Office,https://www.jica.go.jp/english/overseas/palau/index.html
PNG,598,Papua New Guinea,Papua New Guinea,yes,country_page_and_purview,JICA Papua New Guinea Office,https://www.jica.go.jp/english/overseas/png/index.html
PRY,600,Paraguay,Paraguay,yes,country_page_and_purview,JICA Paraguay Office,https://www.jica.go.jp/english/overseas/paraguay/index.html
PSE,275,State of Palestine,Palestine,yes,country_page_and_purview,JICA Palestine Office,https://www.jica.go.jp/english/overseas/palestine/index.html
RWA,646,Rwanda,Rwanda,yes,country_page_and_purview,JICA Rwanda Office,https://www.jica.go.jp/english/overseas/rwanda/index.html
SAU,682,Saudi Arabia,Saudi Arabia,no,purview_only,JICA Saudi Arabia Field Office,
SDN,729,Sudan,Sudan,yes,country_page_and_purview,JICA Sudan Office,https://www.jica.go.jp/english/overseas/sudan/index.html
